idx,d0,d1,d2,maqaf,paseq,break
1.28.2,אתם,אֹתָם,אֹתָם֮,,False,
1.28.3,אלהים,אֱלֹהִים,אֱלֹהִים֒,,False,
1.28.4,ויאמר,וַיֹּאמֶר,וַיֹּ֨אמֶר,,False,
1.28.5,להם,לָהֶם,לָהֶ֜ם,,False,
1.28.6,אלהים,אֱלֹהִים,אֱלֹהִ֗ים,,False,
1.28.7,פרו,פְּרוּ,פְּר֥וּ,,False,
1.28.8,ורבו,וּרְבוּ,וּרְב֛וּ,,False,
1.28.9,ומלאו,וּמִלְאוּ,וּמִלְא֥וּ,,False,
1.28.10,את,אֶת,אֶת,"(1, 2)",False,
1.28.11,הארץ,הָאָרֶץ,הָאָ֖רֶץ,"(2, 2)",False,
1.28.12,וכבשה,וְכִבְשֻׁהָ,וְכִבְשֻׁ֑הָ,,False,
1.28.13,ורדו,וּרְדוּ,וּרְד֞וּ,,False,
1.28.14,בדגת,בִּדְגַת,בִּדְגַ֤ת,,False,
1.28.15,הים,הַיָּם,הַיָּם֙,,False,
1.28.16,ובעוף,וּבְעוֹף,וּבְע֣וֹף,,False,
